ALERT: High delete actions (8) for user user_7 - potential data loss risk. (Action: login, Resource: employee_db, Status: success, IP: 71.47.248.197)
ALERT: Suspicious hour (21:00) activity for user user_10 at 2025-11-15 21:19:37. (Action: delete_record, Resource: employee_db, Status: success, IP: 144.246.227.125)
ALERT: High delete actions (8) for user user_10 - potential data loss risk. (Action: delete_record, Resource: employee_db, Status: success, IP: 144.246.227.125)
ALERT: New IP access (144.246.227.125) for user user_10 at 2025-11-15 21:19:37 - verify identity. (Action: delete_record, Resource: employee_db, Status: success, IP: 144.246.227.125)
ALERT: Suspicious hour (21:00) activity for user user_12 at 2025-11-15 21:22:05. (Action: view_page, Resource: admin_panel, Status: success, IP: 131.137.134.31)
ALERT: New IP access (131.137.134.31) for user user_12 at 2025-11-15 21:22:05 - verify identity. (Action: view_page, Resource: admin_panel, Status: success, IP: 131.137.134.31)
ALERT: Suspicious hour (21:00) activity for user user_9 at 2025-11-15 21:24:11. (Action: download_file, Resource: public_page, Status: success, IP: 212.182.156.153)
ALERT: New IP access (212.182.156.153) for user user_9 at 2025-11-15 21:24:11 - verify identity. (Action: download_file, Resource: public_page, Status: success, IP: 212.182.156.153)
ALERT: Suspicious hour (21:00) activity for user user_3 at 2025-11-15 21:26:55. (Action: download_file, Resource: public_page, Status: failed, IP: 159.245.185.129)
ALERT: New IP access (159.245.185.129) for user user_3 at 2025-11-15 21:26:55 - verify identity. (Action: download_file, Resource: public_page, Status: failed, IP: 159.245.185.129)
ALERT: Suspicious hour (21:00) activity for user user_9 at 2025-11-15 21:29:03. (Action: view_page, Resource: dashboard, Status: success, IP: 202.213.248.143)
ALERT: New IP access (202.213.248.143) for user user_9 at 2025-11-15 21:29:03 - verify identity. (Action: view_page, Resource: dashboard, Status: success, IP: 202.213.248.143)
ALERT: Suspicious hour (21:00) activity for user user_15 at 2025-11-15 21:30:20. (Action: update_record, Resource: admin_panel, Status: success, IP: 83.99.222.99)
ALERT: High delete actions (6) for user user_15 - potential data loss risk. (Action: update_record, Resource: admin_panel, Status: success, IP: 83.99.222.99)
ALERT: High-risk action 'update_record' on sensitive resource 'admin_panel' by user user_15 at 2025-11-15 21:30:20. (Action: update_record, Resource: admin_panel, Status: success, IP: 83.99.222.99)
ALERT: New IP access (83.99.222.99) for user user_15 at 2025-11-15 21:30:20 - verify identity. (Action: update_record, Resource: admin_panel, Status: success, IP: 83.99.222.99)
ALERT: Suspicious hour (21:00) activity for user user_5 at 2025-11-15 21:30:28. (Action: view_page, Resource: public_page, Status: failed, IP: 153.90.236.144)
ALERT: Unusually high activity (41 events) for user user_5. (Action: view_page, Resource: public_page, Status: failed, IP: 153.90.236.144)
ALERT: High delete actions (7) for user user_5 - potential data loss risk. (Action: view_page, Resource: public_page, Status: failed, IP: 153.90.236.144)
ALERT: New IP access (153.90.236.144) for user user_5 at 2025-11-15 21:30:28 - verify identity. (Action: view_page, Resource: public_page, Status: failed, IP: 153.90.236.144)
ALERT: Suspicious hour (21:00) activity for user user_6 at 2025-11-15 21:31:55. (Action: view_page, Resource: employee_db, Status: failed, IP: 239.55.99.221)
ALERT: New IP access (239.55.99.221) for user user_6 at 2025-11-15 21:31:55 - verify identity. (Action: view_page, Resource: employee_db, Status: failed, IP: 239.55.99.221)
ALERT: Suspicious hour (21:00) activity for user user_9 at 2025-11-15 21:33:43. (Action: update_record, Resource: public_page, Status: success, IP: 99.244.131.32)
ALERT: New IP access (99.244.131.32) for user user_9 at 2025-11-15 21:33:43 - verify identity. (Action: update_record, Resource: public_page, Status: success, IP: 99.244.131.32)
ALERT: Suspicious hour (21:00) activity for user user_12 at 2025-11-15 21:34:44. (Action: update_record, Resource: admin_panel, Status: success, IP: 15.165.73.185)
ALERT: High-risk action 'update_record' on sensitive resource 'admin_panel' by user user_12 at 2025-11-15 21:34:44. (Action: update_record, Resource: admin_panel, Status: success, IP: 15.165.73.185)
ALERT: New IP access (15.165.73.185) for user user_12 at 2025-11-15 21:34:44 - verify identity. (Action: update_record, Resource: admin_panel, Status: success, IP: 15.165.73.185)
ALERT: Suspicious hour (21:00) activity for user user_11 at 2025-11-15 21:37:36. (Action: update_record, Resource: dashboard, Status: success, IP: 143.210.218.159)
ALERT: New IP access (143.210.218.159) for user user_11 at 2025-11-15 21:37:36 - verify identity. (Action: update_record, Resource: dashboard, Status: success, IP: 143.210.218.159)
ALERT: Suspicious hour (21:00) activity for user user_15 at 2025-11-15 21:39:14. (Action: download_file, Resource: config.yaml, Status: success, IP: 144.204.82.64)
ALERT: High delete actions (6) for user user_15 - potential data loss risk. (Action: download_file, Resource: config.yaml, Status: success, IP: 144.204.82.64)
ALERT: New IP access (144.204.82.64) for user user_15 at 2025-11-15 21:39:14 - verify identity. (Action: download_file, Resource: config.yaml, Status: success, IP: 144.204.82.64)
ALERT: Suspicious hour (21:00) activity for user user_13 at 2025-11-15 21:40:17. (Action: update_record, Resource: dashboard, Status: failed, IP: 211.133.199.178)
ALERT: New IP access (211.133.199.178) for user user_13 at 2025-11-15 21:40:17 - verify identity. (Action: update_record, Resource: dashboard, Status: failed, IP: 211.133.199.178)
ALERT: Suspicious hour (21:00) activity for user user_5 at 2025-11-15 21:41:19. (Action: login, Resource: admin_panel, Status: success, IP: 246.14.132.25)
ALERT: Unusually high activity (41 events) for user user_5. (Action: login, Resource: admin_panel, Status: success, IP: 246.14.132.25)
ALERT: High delete actions (7) for user user_5 - potential data loss risk. (Action: login, Resource: admin_panel, Status: success, IP: 246.14.132.25)
ALERT: New IP access (246.14.132.25) for user user_5 at 2025-11-15 21:41:19 - verify identity. (Action: login, Resource: admin_panel, Status: success, IP: 246.14.132.25)
ALERT: Suspicious hour (21:00) activity for user user_11 at 2025-11-15 21:41:32. (Action: view_page, Resource: dashboard, Status: failed, IP: 251.254.238.208)
ALERT: New IP access (251.254.238.208) for user user_11 at 2025-11-15 21:41:32 - verify identity. (Action: view_page, Resource: dashboard, Status: failed, IP: 251.254.238.208)
ALERT: Suspicious hour (21:00) activity for user user_7 at 2025-11-15 21:42:38. (Action: update_record, Resource: report.pdf, Status: success, IP: 139.84.65.166)
ALERT: High delete actions (8) for user user_7 - potential data loss risk. (Action: update_record, Resource: report.pdf, Status: success, IP: 139.84.65.166)
ALERT: New IP access (139.84.65.166) for user user_7 at 2025-11-15 21:42:38 - verify identity. (Action: update_record, Resource: report.pdf, Status: success, IP: 139.84.65.166)
ALERT: Suspicious hour (21:00) activity for user user_7 at 2025-11-15 21:44:55. (Action: delete_record, Resource: dashboard, Status: failed, IP: 58.237.60.203)
ALERT: High delete actions (8) for user user_7 - potential data loss risk. (Action: delete_record, Resource: dashboard, Status: failed, IP: 58.237.60.203)
ALERT: New IP access (58.237.60.203) for user user_7 at 2025-11-15 21:44:55 - verify identity. (Action: delete_record, Resource: dashboard, Status: failed, IP: 58.237.60.203)
ALERT: Suspicious hour (21:00) activity for user user_4 at 2025-11-15 21:46:19. (Action: update_record, Resource: dashboard, Status: success, IP: 47.152.82.203)
ALERT: High delete actions (6) for user user_4 - potential data loss risk. (Action: update_record, Resource: dashboard, Status: success, IP: 47.152.82.203)
ALERT: New IP access (47.152.82.203) for user user_4 at 2025-11-15 21:46:19 - verify identity. (Action: update_record, Resource: dashboard, Status: success, IP: 47.152.82.203)
ALERT: Suspicious hour (21:00) activity for user user_11 at 2025-11-15 21:47:10. (Action: delete_record, Resource: config.yaml, Status: success, IP: 53.242.251.145)
ALERT: High-risk action 'delete_record' on sensitive resource 'config.yaml' by user user_11 at 2025-11-15 21:47:10. (Action: delete_record, Resource: config.yaml, Status: success, IP: 53.242.251.145)
ALERT: New IP access (53.242.251.145) for user user_11 at 2025-11-15 21:47:10 - verify identity. (Action: delete_record, Resource: config.yaml, Status: success, IP: 53.242.251.145)
ALERT: Suspicious hour (21:00) activity for user user_6 at 2025-11-15 21:48:55. (Action: download_file, Resource: report.pdf, Status: failed, IP: 184.18.39.6)
ALERT: New IP access (184.18.39.6) for user user_6 at 2025-11-15 21:48:55 - verify identity. (Action: download_file, Resource: report.pdf, Status: failed, IP: 184.18.39.6)
ALERT: Suspicious hour (21:00) activity for user user_11 at 2025-11-15 21:50:51. (Action: update_record, Resource: public_page, Status: failed, IP: 202.228.23.231)
ALERT: New IP access (202.228.23.231) for user user_11 at 2025-11-15 21:50:51 - verify identity. (Action: update_record, Resource: public_page, Status: failed, IP: 202.228.23.231)
ALERT: Suspicious hour (21:00) activity for user user_10 at 2025-11-15 21:59:34. (Action: login, Resource: config.yaml, Status: success, IP: 151.26.4.129)
ALERT: High delete actions (8) for user user_10 - potential data loss risk. (Action: login, Resource: config.yaml, Status: success, IP: 151.26.4.129)
ALERT: New IP access (151.26.4.129) for user user_10 at 2025-11-15 21:59:34 - verify identity. (Action: login, Resource: config.yaml, Status: success, IP: 151.26.4.129)
ALERT: Suspicious hour (22:00) activity for user user_7 at 2025-11-15 22:01:48. (Action: login, Resource: report.pdf, Status: success, IP: 130.112.111.59)
ALERT: High delete actions (8) for user user_7 - potential data loss risk. (Action: login, Resource: report.pdf, Status: success, IP: 130.112.111.59)
ALERT: New IP access (130.112.111.59) for user user_7 at 2025-11-15 22:01:48 - verify identity. (Action: login, Resource: report.pdf, Status: success, IP: 130.112.111.59)
ALERT: Suspicious hour (22:00) activity for user user_10 at 2025-11-15 22:12:03. (Action: download_file, Resource: employee_db, Status: success, IP: 33.199.226.208)
ALERT: High delete actions (8) for user user_10 - potential data loss risk. (Action: download_file, Resource: employee_db, Status: success, IP: 33.199.226.208)
ALERT: New IP access (33.199.226.208) for user user_10 at 2025-11-15 22:12:03 - verify identity. (Action: download_file, Resource: employee_db, Status: success, IP: 33.199.226.208)
ALERT: Suspicious hour (22:00) activity for user user_9 at 2025-11-15 22:12:32. (Action: delete_record, Resource: dashboard, Status: success, IP: 93.233.40.55)
ALERT: New IP access (93.233.40.55) for user user_9 at 2025-11-15 22:12:32 - verify identity. (Action: delete_record, Resource: dashboard, Status: success, IP: 93.233.40.55)
ALERT: Suspicious hour (22:00) activity for user user_13 at 2025-11-15 22:15:54. (Action: download_file, Resource: dashboard, Status: success, IP: 176.210.135.183)
ALERT: New IP access (176.210.135.183) for user user_13 at 2025-11-15 22:15:54 - verify identity. (Action: download_file, Resource: dashboard, Status: success, IP: 176.210.135.183)
ALERT: Suspicious hour (22:00) activity for user user_2 at 2025-11-15 22:16:01. (Action: view_page, Resource: dashboard, Status: success, IP: 64.249.40.3)
ALERT: New IP access (64.249.40.3) for user user_2 at 2025-11-15 22:16:01 - verify identity. (Action: view_page, Resource: dashboard, Status: success, IP: 64.249.40.3)
ALERT: Suspicious hour (22:00) activity for user user_10 at 2025-11-15 22:17:57. (Action: delete_record, Resource: admin_panel, Status: success, IP: 19.92.171.119)
ALERT: High delete actions (8) for user user_10 - potential data loss risk. (Action: delete_record, Resource: admin_panel, Status: success, IP: 19.92.171.119)
ALERT: High-risk action 'delete_record' on sensitive resource 'admin_panel' by user user_10 at 2025-11-15 22:17:57. (Action: delete_record, Resource: admin_panel, Status: success, IP: 19.92.171.119)
ALERT: New IP access (19.92.171.119) for user user_10 at 2025-11-15 22:17:57 - verify identity. (Action: delete_record, Resource: admin_panel, Status: success, IP: 19.92.171.119)
ALERT: Suspicious hour (22:00) activity for user user_1 at 2025-11-15 22:20:48. (Action: view_page, Resource: report.pdf, Status: success, IP: 109.234.221.37)
ALERT: New IP access (109.234.221.37) for user user_1 at 2025-11-15 22:20:48 - verify identity. (Action: view_page, Resource: report.pdf, Status: success, IP: 109.234.221.37)
ALERT: Suspicious hour (22:00) activity for user user_10 at 2025-11-15 22:23:59. (Action: view_page, Resource: admin_panel, Status: success, IP: 177.245.59.7)
ALERT: High delete actions (8) for user user_10 - potential data loss risk. (Action: view_page, Resource: admin_panel, Status: success, IP: 177.245.59.7)
ALERT: New IP access (177.245.59.7) for user user_10 at 2025-11-15 22:23:59 - verify identity. (Action: view_page, Resource: admin_panel, Status: success, IP: 177.245.59.7)
ALERT: Suspicious hour (22:00) activity for user user_11 at 2025-11-15 22:24:53. (Action: update_record, Resource: report.pdf, Status: success, IP: 210.142.50.225)
ALERT: New IP access (210.142.50.225) for user user_11 at 2025-11-15 22:24:53 - verify identity. (Action: update_record, Resource: report.pdf, Status: success, IP: 210.142.50.225)
ALERT: Suspicious hour (22:00) activity for user user_12 at 2025-11-15 22:26:15. (Action: view_page, Resource: employee_db, Status: success, IP: 4.165.21.136)
ALERT: New IP access (4.165.21.136) for user user_12 at 2025-11-15 22:26:15 - verify identity. (Action: view_page, Resource: employee_db, Status: success, IP: 4.165.21.136)
ALERT: Suspicious hour (22:00) activity for user user_1 at 2025-11-15 22:28:15. (Action: delete_record, Resource: config.yaml, Status: success, IP: 248.254.27.134)
ALERT: High-risk action 'delete_record' on sensitive resource 'config.yaml' by user user_1 at 2025-11-15 22:28:15. (Action: delete_record, Resource: config.yaml, Status: success, IP: 248.254.27.134)
ALERT: New IP access (248.254.27.134) for user user_1 at 2025-11-15 22:28:15 - verify identity. (Action: delete_record, Resource: config.yaml, Status: success, IP: 248.254.27.134)
ALERT: Suspicious hour (22:00) activity for user user_7 at 2025-11-15 22:31:48. (Action: login, Resource: config.yaml, Status: failed, IP: 95.169.61.230)
ALERT: High delete actions (8) for user user_7 - potential data loss risk. (Action: login, Resource: config.yaml, Status: failed, IP: 95.169.61.230)
ALERT: New IP access (95.169.61.230) for user user_7 at 2025-11-15 22:31:48 - verify identity. (Action: login, Resource: config.yaml, Status: failed, IP: 95.169.61.230)
ALERT: Suspicious hour (22:00) activity for user user_12 at 2025-11-15 22:31:53. (Action: login, Resource: dashboard, Status: success, IP: 163.251.187.116)
ALERT: New IP access (163.251.187.116) for user user_12 at 2025-11-15 22:31:53 - verify identity. (Action: login, Resource: dashboard, Status: success, IP: 163.251.187.116)
ALERT: Suspicious hour (22:00) activity for user user_9 at 2025-11-15 22:32:18. (Action: login, Resource: config.yaml, Status: failed, IP: 193.14.117.131)
ALERT: New IP access (193.14.117.131) for user user_9 at 2025-11-15 22:32:18 - verify identity. (Action: login, Resource: config.yaml, Status: failed, IP: 193.14.117.131)
ALERT: Suspicious hour (22:00) activity for user user_10 at 2025-11-15 22:32:25. (Action: view_page, Resource: employee_db, Status: failed, IP: 233.177.242.115)
ALERT: High delete actions (8) for user user_10 - potential data loss risk. (Action: view_page, Resource: employee_db, Status: failed, IP: 233.177.242.115)
ALERT: New IP access (233.177.242.115) for user user_10 at 2025-11-15 22:32:25 - verify identity. (Action: view_page, Resource: employee_db, Status: failed, IP: 233.177.242.115)
ALERT: Suspicious hour (22:00) activity for user user_12 at 2025-11-15 22:35:33. (Action: login, Resource: employee_db, Status: failed, IP: 151.151.43.137)
ALERT: New IP access (151.151.43.137) for user user_12 at 2025-11-15 22:35:33 - verify identity. (Action: login, Resource: employee_db, Status: failed, IP: 151.151.43.137)
ALERT: Suspicious hour (22:00) activity for user user_8 at 2025-11-15 22:36:25. (Action: download_file, Resource: report.pdf, Status: success, IP: 92.73.114.129)
ALERT: New IP access (92.73.114.129) for user user_8 at 2025-11-15 22:36:25 - verify identity. (Action: download_file, Resource: report.pdf, Status: success, IP: 92.73.114.129)
ALERT: Suspicious hour (22:00) activity for user user_10 at 2025-11-15 22:37:47. (Action: login, Resource: config.yaml, Status: failed, IP: 102.121.128.249)
ALERT: High delete actions (8) for user user_10 - potential data loss risk. (Action: login, Resource: config.yaml, Status: failed, IP: 102.121.128.249)
ALERT: New IP access (102.121.128.249) for user user_10 at 2025-11-15 22:37:47 - verify identity. (Action: login, Resource: config.yaml, Status: failed, IP: 102.121.128.249)
ALERT: Suspicious hour (22:00) activity for user user_11 at 2025-11-15 22:38:26. (Action: download_file, Resource: admin_panel, Status: success, IP: 247.53.223.110)
ALERT: New IP access (247.53.223.110) for user user_11 at 2025-11-15 22:38:26 - verify identity. (Action: download_file, Resource: admin_panel, Status: success, IP: 247.53.223.110)
ALERT: Suspicious hour (22:00) activity for user user_3 at 2025-11-15 22:40:40. (Action: view_page, Resource: employee_db, Status: success, IP: 223.177.148.53)
ALERT: New IP access (223.177.148.53) for user user_3 at 2025-11-15 22:40:40 - verify identity. (Action: view_page, Resource: employee_db, Status: success, IP: 223.177.148.53)
ALERT: Suspicious hour (22:00) activity for user user_13 at 2025-11-15 22:40:45. (Action: login, Resource: report.pdf, Status: success, IP: 101.244.238.223)
ALERT: New IP access (101.244.238.223) for user user_13 at 2025-11-15 22:40:45 - verify identity. (Action: login, Resource: report.pdf, Status: success, IP: 101.244.238.223)
ALERT: Suspicious hour (22:00) activity for user user_4 at 2025-11-15 22:45:39. (Action: login, Resource: employee_db, Status: success, IP: 12.17.120.141)
ALERT: High delete actions (6) for user user_4 - potential data loss risk. (Action: login, Resource: employee_db, Status: success, IP: 12.17.120.141)
ALERT: New IP access (12.17.120.141) for user user_4 at 2025-11-15 22:45:39 - verify identity. (Action: login, Resource: employee_db, Status: success, IP: 12.17.120.141)
ALERT: Suspicious hour (22:00) activity for user user_7 at 2025-11-15 22:46:11. (Action: delete_record, Resource: public_page, Status: failed, IP: 76.30.113.200)
ALERT: High delete actions (8) for user user_7 - potential data loss risk. (Action: delete_record, Resource: public_page, Status: failed, IP: 76.30.113.200)
ALERT: New IP access (76.30.113.200) for user user_7 at 2025-11-15 22:46:11 - verify identity. (Action: delete_record, Resource: public_page, Status: failed, IP: 76.30.113.200)
ALERT: Suspicious hour (22:00) activity for user user_9 at 2025-11-15 22:46:16. (Action: logout, Resource: employee_db, Status: failed, IP: 81.31.113.108)
ALERT: New IP access (81.31.113.108) for user user_9 at 2025-11-15 22:46:16 - verify identity. (Action: logout, Resource: employee_db, Status: failed, IP: 81.31.113.108)
ALERT: Suspicious hour (22:00) activity for user user_8 at 2025-11-15 22:49:52. (Action: update_record, Resource: config.yaml, Status: success, IP: 127.64.50.105)
ALERT: High-risk action 'update_record' on sensitive resource 'config.yaml' by user user_8 at 2025-11-15 22:49:52. (Action: update_record, Resource: config.yaml, Status: success, IP: 127.64.50.105)
ALERT: New IP access (127.64.50.105) for user user_8 at 2025-11-15 22:49:52 - verify identity. (Action: update_record, Resource: config.yaml, Status: success, IP: 127.64.50.105)
ALERT: Suspicious hour (22:00) activity for user user_5 at 2025-11-15 22:51:12. (Action: delete_record, Resource: employee_db, Status: success, IP: 53.126.113.28)
ALERT: Unusually high activity (41 events) for user user_5. (Action: delete_record, Resource: employee_db, Status: success, IP: 53.126.113.28)
ALERT: High delete actions (7) for user user_5 - potential data loss risk. (Action: delete_record, Resource: employee_db, Status: success, IP: 53.126.113.28)
ALERT: New IP access (53.126.113.28) for user user_5 at 2025-11-15 22:51:12 - verify identity. (Action: delete_record, Resource: employee_db, Status: success, IP: 53.126.113.28)
ALERT: Suspicious hour (22:00) activity for user user_5 at 2025-11-15 22:53:47. (Action: download_file, Resource: config.yaml, Status: failed, IP: 215.50.191.236)
ALERT: Unusually high activity (41 events) for user user_5. (Action: download_file, Resource: config.yaml, Status: failed, IP: 215.50.191.236)
ALERT: High delete actions (7) for user user_5 - potential data loss risk. (Action: download_file, Resource: config.yaml, Status: failed, IP: 215.50.191.236)
ALERT: New IP access (215.50.191.236) for user user_5 at 2025-11-15 22:53:47 - verify identity. (Action: download_file, Resource: config.yaml, Status: failed, IP: 215.50.191.236)
ALERT: Suspicious hour (22:00) activity for user user_7 at 2025-11-15 22:54:22. (Action: update_record, Resource: dashboard, Status: failed, IP: 153.248.133.185)
ALERT: High delete actions (8) for user user_7 - potential data loss risk. (Action: update_record, Resource: dashboard, Status: failed, IP: 153.248.133.185)
ALERT: New IP access (153.248.133.185) for user user_7 at 2025-11-15 22:54:22 - verify identity. (Action: update_record, Resource: dashboard, Status: failed, IP: 153.248.133.185)
ALERT: Suspicious hour (22:00) activity for user user_11 at 2025-11-15 22:55:01. (Action: update_record, Resource: public_page, Status: success, IP: 78.26.112.70)
ALERT: New IP access (78.26.112.70) for user user_11 at 2025-11-15 22:55:01 - verify identity. (Action: update_record, Resource: public_page, Status: success, IP: 78.26.112.70)
ALERT: Suspicious hour (22:00) activity for user user_13 at 2025-11-15 22:57:25. (Action: login, Resource: employee_db, Status: failed, IP: 187.71.46.176)
ALERT: New IP access (187.71.46.176) for user user_13 at 2025-11-15 22:57:25 - verify identity. (Action: login, Resource: employee_db, Status: failed, IP: 187.71.46.176)
ALERT: Suspicious hour (22:00) activity for user user_8 at 2025-11-15 22:57:41. (Action: logout, Resource: public_page, Status: success, IP: 252.158.87.242)
ALERT: New IP access (252.158.87.242) for user user_8 at 2025-11-15 22:57:41 - verify identity. (Action: logout, Resource: public_page, Status: success, IP: 252.158.87.242)
ALERT: Suspicious hour (22:00) activity for user user_8 at 2025-11-15 22:59:48. (Action: logout, Resource: admin_panel, Status: success, IP: 75.244.211.28)
ALERT: New IP access (75.244.211.28) for user user_8 at 2025-11-15 22:59:48 - verify identity. (Action: logout, Resource: admin_panel, Status: success, IP: 75.244.211.28)
ALERT: Suspicious hour (23:00) activity for user user_14 at 2025-11-15 23:04:58. (Action: logout, Resource: public_page, Status: success, IP: 36.34.143.52)
ALERT: New IP access (36.34.143.52) for user user_14 at 2025-11-15 23:04:58 - verify identity. (Action: logout, Resource: public_page, Status: success, IP: 36.34.143.52)
ALERT: Suspicious hour (23:00) activity for user user_3 at 2025-11-15 23:05:08. (Action: download_file, Resource: public_page, Status: failed, IP: 17.170.33.115)
ALERT: New IP access (17.170.33.115) for user user_3 at 2025-11-15 23:05:08 - verify identity. (Action: download_file, Resource: public_page, Status: failed, IP: 17.170.33.115)
ALERT: Suspicious hour (23:00) activity for user user_13 at 2025-11-15 23:05:55. (Action: delete_record, Resource: report.pdf, Status: success, IP: 245.4.159.180)
ALERT: New IP access (245.4.159.180) for user user_13 at 2025-11-15 23:05:55 - verify identity. (Action: delete_record, Resource: report.pdf, Status: success, IP: 245.4.159.180)
ALERT: Suspicious hour (23:00) activity for user user_5 at 2025-11-15 23:12:19. (Action: download_file, Resource: report.pdf, Status: success, IP: 110.175.6.5)
ALERT: Unusually high activity (41 events) for user user_5. (Action: download_file, Resource: report.pdf, Status: success, IP: 110.175.6.5)
ALERT: High delete actions (7) for user user_5 - potential data loss risk. (Action: download_file, Resource: report.pdf, Status: success, IP: 110.175.6.5)
ALERT: New IP access (110.175.6.5) for user user_5 at 2025-11-15 23:12:19 - verify identity. (Action: download_file, Resource: report.pdf, Status: success, IP: 110.175.6.5)
ALERT: Suspicious hour (23:00) activity for user user_14 at 2025-11-15 23:12:50. (Action: login, Resource: report.pdf, Status: failed, IP: 89.196.177.176)
ALERT: New IP access (89.196.177.176) for user user_14 at 2025-11-15 23:12:50 - verify identity. (Action: login, Resource: report.pdf, Status: failed, IP: 89.196.177.176)
ALERT: Suspicious hour (23:00) activity for user user_8 at 2025-11-15 23:13:16. (Action: delete_record, Resource: employee_db, Status: success, IP: 147.240.130.125)
ALERT: New IP access (147.240.130.125) for user user_8 at 2025-11-15 23:13:16 - verify identity. (Action: delete_record, Resource: employee_db, Status: success, IP: 147.240.130.125)
ALERT: Suspicious hour (23:00) activity for user user_3 at 2025-11-15 23:15:32. (Action: login, Resource: report.pdf, Status: success, IP: 28.199.71.104)
ALERT: New IP access (28.199.71.104) for user user_3 at 2025-11-15 23:15:32 - verify identity. (Action: login, Resource: report.pdf, Status: success, IP: 28.199.71.104)
ALERT: Suspicious hour (23:00) activity for user user_6 at 2025-11-15 23:15:37. (Action: update_record, Resource: report.pdf, Status: success, IP: 137.172.86.236)
